"DateMonth","Category","PdDistrict","Count"
"2003-01","ARSON","BAYVIEW",10
"2003-01","ASSAULT","BAYVIEW",173
"2003-01","BURGLARY","BAYVIEW",72
"2003-01","DISORDERLY CONDUCT","BAYVIEW",6
"2003-01","DRIVING UNDER THE INFLUENCE","BAYVIEW",2
"2003-01","DRUG/NARCOTIC","BAYVIEW",95
"2003-01","DRUNKENNESS","BAYVIEW",4
"2003-01","EMBEZZLEMENT","BAYVIEW",1
"2003-01","FAMILY OFFENSES","BAYVIEW",3
"2003-01","FORGERY/COUNTERFEITING","BAYVIEW",13
"2003-01","FRAUD","BAYVIEW",20
"2003-01","KIDNAPPING","BAYVIEW",5
"2003-01","LARCENY/THEFT","BAYVIEW",142
"2003-01","LIQUOR LAWS","BAYVIEW",1
"2003-01","LOITERING","BAYVIEW",2
"2003-01","MISSING PERSON","BAYVIEW",59
"2003-01","NON-CRIMINAL","BAYVIEW",100
"2003-01","OTHER OFFENSES","BAYVIEW",314
"2003-01","ROBBERY","BAYVIEW",35
"2003-01","RUNAWAY","BAYVIEW",1
"2003-01","SECONDARY CODES","BAYVIEW",25
"2003-01","SEX OFFENSES, FORCIBLE","BAYVIEW",10
"2003-01","STOLEN PROPERTY","BAYVIEW",3
"2003-01","SUICIDE","BAYVIEW",2
"2003-01","SUSPICIOUS OCC","BAYVIEW",35
"2003-01","TRESPASS","BAYVIEW",9
"2003-01","VANDALISM","BAYVIEW",72
"2003-01","VEHICLE THEFT","BAYVIEW",180
"2003-01","WARRANTS","BAYVIEW",110
"2003-01","WEAPON LAWS","BAYVIEW",27
"2003-01","ARSON","CENTRAL",2
"2003-01","ASSAULT","CENTRAL",88
"2003-01","BAD CHECKS","CENTRAL",4
"2003-01","BURGLARY","CENTRAL",45
"2003-01","DISORDERLY CONDUCT","CENTRAL",8
"2003-01","DRUG/NARCOTIC","CENTRAL",26
"2003-01","DRUNKENNESS","CENTRAL",9
"2003-01","EMBEZZLEMENT","CENTRAL",5
"2003-01","FORGERY/COUNTERFEITING","CENTRAL",23
"2003-01","FRAUD","CENTRAL",39
"2003-01","GAMBLING","CENTRAL",3
"2003-01","KIDNAPPING","CENTRAL",4
"2003-01","LARCENY/THEFT","CENTRAL",244
"2003-01","LIQUOR LAWS","CENTRAL",3
"2003-01","LOITERING","CENTRAL",1
"2003-01","MISSING PERSON","CENTRAL",25
"2003-01","NON-CRIMINAL","CENTRAL",125
"2003-01","OTHER OFFENSES","CENTRAL",112
"2003-01","PROSTITUTION","CENTRAL",4
"2003-01","ROBBERY","CENTRAL",30
"2003-01","RUNAWAY","CENTRAL",1
"2003-01","SECONDARY CODES","CENTRAL",8
"2003-01","SEX OFFENSES, FORCIBLE","CENTRAL",5
"2003-01","STOLEN PROPERTY","CENTRAL",9
"2003-01","SUICIDE","CENTRAL",1
"2003-01","SUSPICIOUS OCC","CENTRAL",34
"2003-01","TRESPASS","CENTRAL",14
"2003-01","VANDALISM","CENTRAL",57
"2003-01","VEHICLE THEFT","CENTRAL",110
"2003-01","WARRANTS","CENTRAL",74
"2003-01","WEAPON LAWS","CENTRAL",7
"2003-01","ARSON","INGLESIDE",3
"2003-01","ASSAULT","INGLESIDE",152
"2003-01","BAD CHECKS","INGLESIDE",1
"2003-01","BRIBERY","INGLESIDE",2
"2003-01","BURGLARY","INGLESIDE",73
"2003-01","DISORDERLY CONDUCT","INGLESIDE",1
"2003-01","DRUG/NARCOTIC","INGLESIDE",42
"2003-01","DRUNKENNESS","INGLESIDE",5
"2003-01","EMBEZZLEMENT","INGLESIDE",1
"2003-01","FAMILY OFFENSES","INGLESIDE",2
"2003-01","FORGERY/COUNTERFEITING","INGLESIDE",17
"2003-01","FRAUD","INGLESIDE",33
"2003-01","KIDNAPPING","INGLESIDE",2
"2003-01","LARCENY/THEFT","INGLESIDE",149
"2003-01","LIQUOR LAWS","INGLESIDE",1
"2003-01","MISSING PERSON","INGLESIDE",69
"2003-01","NON-CRIMINAL","INGLESIDE",81
"2003-01","OTHER OFFENSES","INGLESIDE",179
"2003-01","ROBBERY","INGLESIDE",36
"2003-01","RUNAWAY","INGLESIDE",3
"2003-01","SECONDARY CODES","INGLESIDE",21
"2003-01","SEX OFFENSES, FORCIBLE","INGLESIDE",10
"2003-01","SEX OFFENSES, NON FORCIBLE","INGLESIDE",1
"2003-01","STOLEN PROPERTY","INGLESIDE",8
"2003-01","SUICIDE","INGLESIDE",1
"2003-01","SUSPICIOUS OCC","INGLESIDE",41
"2003-01","TRESPASS","INGLESIDE",10
"2003-01","VANDALISM","INGLESIDE",53
"2003-01","VEHICLE THEFT","INGLESIDE",170
"2003-01","WARRANTS","INGLESIDE",55
"2003-01","WEAPON LAWS","INGLESIDE",10
"2003-01","ARSON","MISSION",4
"2003-01","ASSAULT","MISSION",167
"2003-01","BURGLARY","MISSION",61
"2003-01","DISORDERLY CONDUCT","MISSION",20
"2003-01","DRIVING UNDER THE INFLUENCE","MISSION",4
"2003-01","DRUG/NARCOTIC","MISSION",233
"2003-01","DRUNKENNESS","MISSION",8
"2003-01","EMBEZZLEMENT","MISSION",3
"2003-01","FAMILY OFFENSES","MISSION",1
"2003-01","FORGERY/COUNTERFEITING","MISSION",29
"2003-01","FRAUD","MISSION",17
"2003-01","KIDNAPPING","MISSION",2
"2003-01","LARCENY/THEFT","MISSION",232
"2003-01","LIQUOR LAWS","MISSION",5
"2003-01","LOITERING","MISSION",2
"2003-01","MISSING PERSON","MISSION",33
"2003-01","NON-CRIMINAL","MISSION",152
"2003-01","OTHER OFFENSES","MISSION",339
"2003-01","PROSTITUTION","MISSION",97
"2003-01","ROBBERY","MISSION",30
"2003-01","RUNAWAY","MISSION",4
"2003-01","SECONDARY CODES","MISSION",7
"2003-01","SEX OFFENSES, FORCIBLE","MISSION",22
"2003-01","STOLEN PROPERTY","MISSION",11
"2003-01","SUICIDE","MISSION",1
"2003-01","SUSPICIOUS OCC","MISSION",50
"2003-01","TRESPASS","MISSION",23
"2003-01","VANDALISM","MISSION",71
"2003-01","VEHICLE THEFT","MISSION",118
"2003-01","WARRANTS","MISSION",122
"2003-01","WEAPON LAWS","MISSION",14
"2003-01","ASSAULT","NORTHERN",118
"2003-01","BAD CHECKS","NORTHERN",2
"2003-01","BURGLARY","NORTHERN",55
"2003-01","DISORDERLY CONDUCT","NORTHERN",10
"2003-01","DRIVING UNDER THE INFLUENCE","NORTHERN",9
"2003-01","DRUG/NARCOTIC","NORTHERN",93
"2003-01","DRUNKENNESS","NORTHERN",8
"2003-01","EMBEZZLEMENT","NORTHERN",4
"2003-01","EXTORTION","NORTHERN",1
"2003-01","FAMILY OFFENSES","NORTHERN",1
"2003-01","FORGERY/COUNTERFEITING","NORTHERN",23
"2003-01","FRAUD","NORTHERN",31
"2003-01","KIDNAPPING","NORTHERN",1
"2003-01","LARCENY/THEFT","NORTHERN",330
"2003-01","LIQUOR LAWS","NORTHERN",1
"2003-01","LOITERING","NORTHERN",2
"2003-01","MISSING PERSON","NORTHERN",41
"2003-01","NON-CRIMINAL","NORTHERN",145
"2003-01","OTHER OFFENSES","NORTHERN",203
"2003-01","PROSTITUTION","NORTHERN",53
"2003-01","ROBBERY","NORTHERN",36
"2003-01","RUNAWAY","NORTHERN",7
"2003-01","SECONDARY CODES","NORTHERN",12
"2003-01","SEX OFFENSES, FORCIBLE","NORTHERN",9
"2003-01","STOLEN PROPERTY","NORTHERN",9
"2003-01","SUICIDE","NORTHERN",2
"2003-01","SUSPICIOUS OCC","NORTHERN",49
"2003-01","TRESPASS","NORTHERN",12
